sample	cRegMap	Verhaak	lucgar
FB568	MES	Mesenchymal	PPR
FB569	NL	Neural	NEU
GSM1440412	PN	Proneural	PPR
GSM1440413	NL	Neural	MTC
GSM1440414	NL	Mesenchymal	GPM
GSM1440415	CL-A	Classical	PPR
GSM1440416	CL-A	Classical	PPR
GSM1440417	NL	Proneural	NEU
GSM1440418	NL	Neural	NEU
GSM1440419	CL-B	Proneural	MTC
GSM1440420	NL	Neural	NEU
GSM1440421	CL-B	Neural	NEU
GSM1440422	PN	Proneural	PPR
GSM1440423	PN	Proneural	NEU
GSM1440424	NL	Neural	NEU
GSM1440425	NL	Proneural	NEU
GSM1440426	NL	Neural	NEU
GSM1440427	NL	Neural	NEU
GSM1440428	NL	Neural	NEU
GSM1440429	NL	Neural	MTC
GSM1440430	NL	Neural	MTC
GSM1440431	CL-A	Classical	GPM
GSM1440432	MES	Mesenchymal	GPM
GSM1440433	NL	Neural	NEU
GSM1440434	NL	Neural	NEU
GSM1440435	NL	Neural	NEU
GSM1440436	PN	Proneural	NEU
GSM1440437	NL	Neural	NEU
GSM1440438	NL	Classical	MTC
GSM1440439	PN-L	Proneural	NEU
GSM1440440	NL	Neural	NEU
GSM1440441	CL-C	Neural	MTC
GSM1440442	NL	Neural	NEU
GSM1440443	CL-A	Proneural	MTC
GSM1440444	NL	Proneural	NEU
GSM1440445	PN	Proneural	MTC
GSM1440446	NL	Neural	MTC
GSM1440447	NL	Neural	NEU
GSM1440448	PN	Proneural	PPR
GSM1440449	PN	Proneural	PPR
GSM1440450	PN	Proneural	PPR
GSM1440451	MES	Mesenchymal	MTC
GSM1440452	CL-C	Mesenchymal	MTC
GSM1440453	CL-C	Mesenchymal	MTC
GSM1440454	CL-C	Mesenchymal	MTC
GSM1440455	CL-C	Mesenchymal	GPM
GSM1440456	CL-C	Mesenchymal	MTC
GSM1440457	CL-A	Classical	PPR
GSM1440458	CL-A	Classical	PPR
GSM1440459	MES	Mesenchymal	GPM
GSM1440460	CL-C	Mesenchymal	MTC
GSM1440461	MES	Mesenchymal	GPM
GSM1440462	MES	Mesenchymal	GPM
GSM1440463	MES	Classical	MTC
GSM1440464	PN	Proneural	PPR
GSM1440465	PN	Proneural	PPR
GSM1440466	MES	Mesenchymal	PPR
GSM1440467	PN-L	Proneural	GPM
GSM1440468	NL	Neural	MTC
GSM1440469	PN	Proneural	NEU
GSM1440470	MES	Classical	MTC
GSM1440471	CL-A	Mesenchymal	GPM
GSM1440472	CL-A	Classical	GPM
GSM1440473	CL-A	Classical	GPM
GSM1440474	MES	Mesenchymal	GPM
GSM1440475	MES	Mesenchymal	GPM
GSM1440476	CL-A	Classical	PPR
GSM1440477	CL-A	Classical	GPM
GSM1440478	CL-A	Classical	GPM
GSM1440479	CL-A	Classical	PPR
GSM1440480	CL-A	Classical	GPM
GSM1440481	CL-A	Mesenchymal	GPM
GSM1440482	CL-A	Classical	GPM
GSM1440483	CL-A	Classical	GPM
GSM1440484	PN	Proneural	PPR
GSM1440485	CL-A	Proneural	GPM
GSM1440486	PN	Proneural	PPR
GSM405213	CL-A	Classical	MTC
GSM405214	MES	Mesenchymal	GPM
GSM405215	CL-A	Classical	MTC
GSM405216	NL	Proneural	NEU
GSM405217	MES	Proneural	GPM
GSM405218	MES	Classical	GPM
GSM405219	MES	Classical	MTC
GSM405220	MES	Mesenchymal	GPM
GSM405221	MES	Classical	GPM
GSM405222	NL	Neural	NEU
GSM405223	CL-A	Classical	PPR
GSM405224	NL	Neural	NEU
GSM405228	CL-C	Classical	MTC
GSM405229	CL-C	Proneural	MTC
GSM405230	CL-A	Classical	GPM
GSM405231	CL-A	Classical	PPR
GSM405232	PN	Proneural	PPR
GSM405233	MES	Mesenchymal	GPM
GSM405234	PN	Proneural	MTC
GSM405235	MES	Mesenchymal	GPM
GSM405236	MES	Mesenchymal	GPM
GSM405237	MES	Classical	GPM
GSM405238	PN-L	Proneural	MTC
GSM405239	MES	Mesenchymal	GPM
GSM405240	MES	Proneural	GPM
GSM405241	MES	Mesenchymal	GPM
GSM405242	PN	Proneural	PPR
GSM405243	CL-C	Neural	MTC
GSM405244	PN-L	Proneural	MTC
GSM405245	PN-L	Proneural	GPM
GSM405246	PN	Proneural	NEU
GSM405247	CL-A	Classical	PPR
GSM405248	CL-C	Classical	MTC
GSM405249	PN	Proneural	MTC
GSM405251	PN	Proneural	NEU
GSM405252	MES	Neural	MTC
GSM405253	PN	Proneural	PPR
GSM405254	CL-A	Classical	MTC
GSM405255	CL-C	Neural	MTC
GSM405260	CL-A	Classical	PPR
GSM405262	CL-A	Classical	MTC
GSM405263	MES	Classical	PPR
GSM405264	MES	Classical	MTC
GSM405266	CL-A	Classical	PPR
GSM405267	CL-A	Classical	MTC
GSM405268	NL	Mesenchymal	MTC
GSM405269	MES	Classical	GPM
GSM405270	MES	Classical	GPM
GSM405271	PN-L	Proneural	NEU
GSM405274	MES	Classical	NEU
GSM405275	PN-L	Proneural	MTC
GSM405276	MES	Mesenchymal	GPM
GSM405278	NL	Mesenchymal	GPM
GSM405280	MES	Classical	MTC
GSM405282	MES	Mesenchymal	GPM
GSM405290	MES	Mesenchymal	GPM
GSM405292	CL-A	Classical	PPR
GSM405293	MES	Classical	GPM
GSM405294	CL-A	Classical	MTC
GSM405296	PN	Proneural	MTC
GSM405297	CL-C	Classical	MTC
GSM405299	CL-A	Classical	PPR
GSM405301	MES	Mesenchymal	GPM
GSM405302	CL-B	Classical	NEU
GSM405303	NL	Classical	NEU
GSM405304	MES	Neural	GPM
GSM405305	MES	Mesenchymal	GPM
GSM405307	MES	Mesenchymal	GPM
GSM405308	PN	Proneural	PPR
GSM405309	MES	Classical	MTC
GSM405312	CL-A	Classical	PPR
GSM405313	MES	Mesenchymal	GPM
GSM405314	MES	Proneural	MTC
GSM405315	NL	Neural	NEU
GSM405317	MES	Classical	GPM
GSM405320	MES	Neural	GPM
GSM405322	MES	Mesenchymal	GPM
GSM405323	CL-A	Classical	MTC
GSM405324	MES	Mesenchymal	GPM
GSM405326	CL-A	Classical	MTC
GSM405328	CL-A	Classical	PPR
GSM405330	PN	Proneural	PPR
GSM405337	PN	Proneural	PPR
GSM405339	CL-A	Classical	MTC
GSM405340	PN-L	Proneural	MTC
GSM405343	MES	Neural	MTC
GSM405345	MES	Mesenchymal	GPM
GSM405349	PN	Classical	PPR
GSM405350	PN-L	Proneural	MTC
GSM405351	CL-A	Neural	PPR
GSM405352	CL-A	Classical	MTC
GSM405353	MES	Mesenchymal	GPM
GSM405356	PN-L	Proneural	MTC
GSM405362	MES	Classical	MTC
GSM405363	PN	Proneural	PPR
GSM405365	CL-C	Classical	MTC
GSM405367	PN	Proneural	PPR
GSM405368	PN	Proneural	NEU
GSM405369	PN	Proneural	NEU
GSM405370	PN	Proneural	MTC
GSM405371	MES	Classical	MTC
GSM405372	PN	Proneural	PPR
GSM405373	MES	Classical	MTC
GSM405374	MES	Mesenchymal	GPM
GSM405375	MES	Classical	GPM
GSM405376	CL-C	Classical	MTC
GSM405379	CL-C	Neural	MTC
GSM405384	CL-A	Classical	GPM
GSM405385	PN-L	Proneural	MTC
GSM405389	MES	Classical	MTC
GSM405391	CL-A	Classical	MTC
GSM405392	CL-A	Classical	PPR
GSM405393	CL-A	Classical	PPR
GSM405396	CL-A	Classical	PPR
GSM405397	CL-C	Neural	MTC
GSM405398	CL-A	Classical	PPR
GSM405405	CL-A	Classical	NEU
GSM405412	CL-C	Neural	PPR
GSM405415	MES	Neural	GPM
GSM405416	MES	Classical	GPM
GSM405417	CL-A	Classical	PPR
GSM405418	PN-L	Proneural	MTC
GSM405419	PN-L	Proneural	MTC
GSM405422	CL-C	Classical	MTC
GSM405426	CL-C	Classical	MTC
GSM405427	CL-C	Neural	MTC
GSM405428	CL-A	Classical	MTC
GSM405430	MES	Mesenchymal	GPM
GSM405431	PN	Proneural	PPR
GSM405432	MES	Classical	PPR
GSM405434	CL-A	Classical	PPR
GSM405436	CL-C	Classical	MTC
GSM405438	CL-A	Classical	PPR
GSM405440	MES	Classical	GPM
GSM405442	MES	Mesenchymal	GPM
GSM405443	CL-A	Classical	MTC
GSM405446	MES	Classical	MTC
GSM405447	MES	Mesenchymal	GPM
GSM405448	MES	Mesenchymal	GPM
GSM405452	PN-L	Proneural	NEU
GSM405453	MES	Classical	GPM
GSM405454	MES	Mesenchymal	GPM
GSM405455	CL-C	Classical	MTC
GSM405456	MES	Mesenchymal	GPM
GSM405458	CL-C	Classical	MTC
GSM405459	MES	Neural	MTC
GSM405461	NL	Proneural	NEU
GSM405463	MES	Mesenchymal	GPM
GSM405464	NL	Neural	NEU
GSM405465	CL-A	Classical	PPR
GSM405466	CL-A	Classical	NEU
GSM405470	PN-L	Proneural	MTC
GSM405471	MES	Mesenchymal	GPM
GSM405472	MES	Neural	MTC
GSM405473	MES	Classical	MTC
GSM405474	MES	Classical	MTC
GSM405475	PN	Proneural	MTC
GSM405477	MES	Neural	MTC
GSM405479	MES	Mesenchymal	GPM
GSM397626	MES	Classical	GPM
GSM397627	MES	Mesenchymal	GPM
GSM397628	NL	Neural	NEU
GSM397629	CL-A	Classical	PPR
GSM397630	NL	Neural	NEU
GSM397631	PN-L	Proneural	MTC
GSM397632	MES	Classical	GPM
GSM397633	NL	Classical	MTC
GSM397634	MES	Classical	GPM
GSM397635	CL-A	Classical	PPR
GSM397636	MES	Classical	MTC
GSM397637	PN	Proneural	PPR
GSM397653	CL-C	Mesenchymal	PPR
GSM397654	MES	Neural	MTC
GSM397655	PN	Proneural	NEU
300173630	CL-B	Classical	PPR
300173636	CL-B	Classical	MTC
300173640	NL	Proneural	NEU
300173644	NL	Classical	NEU
300629315	CL-B	Classical	MTC
300629323	NL	Proneural	NEU
300629344	CL-B	Classical	PPR
300629350	CL-B	Classical	GPM
300629356	NL	Neural	NEU
300629358	CL-C	Classical	MTC
300629374	NL	Neural	NEU
300629382	NL	Neural	NEU
300629401	NL	Neural	NEU
300629403	PN	Classical	PPR
300629409	NL	Neural	NEU
300629424	CL-B	Classical	MTC
300629430	NL	Neural	NEU
300629432	CL-B	Classical	MTC
301287570	PN	Proneural	PPR
301287572	PN	Proneural	MTC
301287582	PN	Proneural	PPR
301287584	PN	Proneural	MTC
301287599	PN	Proneural	PPR
301287601	PN	Proneural	PPR
301287607	MES	Mesenchymal	GPM
301287613	CL-B	Classical	MTC
301287630	CL-A	Classical	PPR
301287636	CL-B	Classical	MTC
301287638	CL-B	Neural	MTC
301287698	PN	Proneural	PPR
301287704	NL	Proneural	NEU
301287708	PN	Proneural	PPR
301287728	NL	Proneural	NEU
301287734	NL	Proneural	NEU
301626597	CL-C	Classical	MTC
301626603	MES	Mesenchymal	MTC
301626605	CL-B	Classical	MTC
301626609	NL	Neural	NEU
301626681	CL-A	Classical	PPR
301626685	CL-A	Classical	PPR
301626689	CL-A	Neural	PPR
301626693	PN	Proneural	PPR
302262300	PN	Proneural	PPR
302263998	NL	Neural	NEU
302264000	CL-C	Classical	MTC
303748195	NL	Neural	NEU
303748303	CL-B	Classical	NEU
303748305	NL	Neural	NEU
303748309	CL-B	Classical	MTC
303748315	NL	Classical	NEU
303748328	CL-C	Classical	MTC
304357555	PN	Proneural	NEU
304950286	PN	Proneural	MTC
304950292	PN	Proneural	PPR
GBM001_Pr	NL	Neural	NEU
GBM003_Pr	PN	Classical	PPR
GBM004_Pr	NL	Neural	NEU
GBM005_Pr	CL-C	Classical	PPR
GBM006_Pr	CL-A	Classical	GPM
GBM007_Pr	PN	Proneural	PPR
GBM008_Pr	PN	Proneural	PPR
GBM009_Rc	NL	Neural	GPM
GBM010_Rc	PN	Classical	NEU
GBM011_Rc	CL-C	Neural	MTC
GBM012_Rc	NL	Neural	MTC
GBM013_Pr	MES	Mesenchymal	GPM
GBM014_Pr	CL-A	Classical	GPM
GBM015_Pr	CL-C	Classical	GPM
