sample	cRegMap	Verhaak	lucgar
GSM1299522	MES	Mesenchymal	GPM
GSM1299523	PN	Proneural	PPR
GSM1299524	CL-A	Classical	GPM
GSM1299525	CL-C	Neural	MTC
GSM1299526	MES	Mesenchymal	PPR
GSM1299527	CL-A	Classical	MTC
GSM1299528	CL-A	Classical	MTC
GSM1299529	CL-C	Mesenchymal	MTC
GSM1299530	PN	Proneural	NEU
GSM1299531	MES	Mesenchymal	GPM
GSM1299532	CL-A	Classical	MTC
GSM1299533	MES	Neural	NEU
GSM1299534	CL-A	Classical	GPM
GSM1299535	MES	Classical	GPM
GSM1299536	PN	Classical	PPR
GSM1299537	CL-A	Classical	PPR
GSM1299538	CL-B	Classical	MTC
GSM1299539	PN	Proneural	MTC
GSM1299540	MES	Mesenchymal	GPM
GSM1299541	CL-A	Classical	PPR
GSM1299542	CL-A	Classical	MTC
GSM1299543	MES	Mesenchymal	GPM
GSM1299544	CL-B	Classical	GPM
GSM1299545	PN	Proneural	MTC
GSM1299546	MES	Mesenchymal	GPM
GSM1299547	NL	Classical	NEU
GSM1299548	CL-A	Classical	PPR
GSM1299549	CL-C	Neural	MTC
GSM1299550	CL-B	Classical	NEU
GSM1299551	MES	Mesenchymal	GPM
GSM1299552	CL-C	Neural	NEU
GSM1299553	CL-C	Classical	MTC
GSM1299554	CL-B	Classical	MTC
GSM1299555	MES	Mesenchymal	GPM
GSM1299556	CL-A	Classical	PPR
GSM1299557	CL-C	Classical	MTC
GSM1299558	MES	Classical	GPM
GSM1299559	CL-A	Neural	PPR
GSM1299560	CL-A	Classical	GPM
GSM1299561	CL-A	Classical	PPR
GSM1299562	MES	Neural	GPM
GSM1299563	PN	Proneural	MTC
GSM1299564	CL-B	Classical	PPR
GSM1299565	MES	Mesenchymal	GPM
GSM1299566	CL-B	Classical	MTC
GSM1299567	PN	Proneural	PPR
GSM1299568	CL-A	Classical	MTC
GSM1299569	CL-A	Classical	MTC
GSM1299570	PN	Proneural	PPR
GSM1299571	MES	Mesenchymal	GPM
GSM1299572	NL	Classical	NEU
GSM1299573	CL-C	Classical	MTC
GSM1299574	MES	Mesenchymal	GPM
GSM1299575	PN-L	Proneural	MTC
GSM1299576	PN-L	Proneural	MTC
GSM1299577	PN	Proneural	PPR
GSM1299578	PN-L	Proneural	MTC
GSM1299579	PN-L	Proneural	NEU
GSM1299580	PN-L	Proneural	MTC
GSM1299581	PN-L	Proneural	NEU
GSM1299582	PN-L	Proneural	NEU
GSM1299583	NL	Proneural	NEU
GSM1299584	PN-L	Proneural	NEU
GSM1299585	NL	Neural	NEU
GSM1299586	PN	Proneural	MTC
900_00_53_32	CL-A	Classical	PPR
900_00_5317	NL	Proneural	NEU
900_00_5338	MES	Classical	MTC
900_00_5342	MES	Mesenchymal	GPM
900_00_5346	MES	Classical	GPM
900_00_5379	CL-A	Classical	GPM
900_00_5381	MES	Mesenchymal	GPM
900_00_5384	MES	Mesenchymal	GPM
900_00_5396	MES	Mesenchymal	GPM
900_00_5404	CL-C	Classical	NEU
900_00_5404_B	MES	Mesenchymal	GPM
900_00_5413	MES	Mesenchymal	GPM
900_00_5414	CL-C	Classical	MTC
900_00_5445	CL-C	Neural	NEU
900_00_5458	CL-C	Neural	PPR
900_00_5462	CL-A	Classical	GPM
900_00_5488	CL-A	Classical	PPR
900_00_5489	CL-A	Classical	PPR
900_00_5540	CL-A	Classical	GPM
900_00_5541	CL-A	Classical	PPR
900_00_5542	PN	Proneural	PPR
900_00_5543	CL-A	Classical	PPR
900_00_5544	CL-A	Classical	PPR
900_00_5546	CL-A	Classical	PPR
900_00_5548	PN	Proneural	PPR
900_00_5551	CL-A	Classical	PPR
900_00_5554	PN	Proneural	PPR
900_0052_99	MES	Classical	GPM
900_0053_03	PN	Classical	PPR
E09137	NL	Neural	NEU
E09138	NL	Neural	MTC
E09139	CL-A	Classical	PPR
E09192	PN-L	Proneural	MTC
E09214	PN-L	Proneural	MTC
E09233	MES	Classical	MTC
E09278	PN	Proneural	NEU
E09331	NL	Neural	NEU
E09348	NL	Classical	MTC
E09369	NL	Neural	NEU
E09405	MES	Mesenchymal	GPM
E09430	MES	Neural	MTC
E09449	MES	Mesenchymal	GPM
E09451	CL-C	Classical	MTC
E09454	NL	Proneural	NEU
E09478	CL-A	Classical	MTC
E09483	MES	Mesenchymal	MTC
E09489	MES	Classical	GPM
E09535	MES	Classical	NEU
E09569	PN	Proneural	MTC
E09601	MES	Mesenchymal	GPM
E09602	MES	Neural	MTC
E09605	NL	Proneural	NEU
E09606	MES	Mesenchymal	GPM
E09610	CL-A	Classical	PPR
E09615	MES	Mesenchymal	MTC
E09622	CL-A	Classical	MTC
E09623	CL-A	Classical	PPR
E09624	CL-A	Classical	PPR
E09647	PN-L	Proneural	NEU
E09649	NL	Neural	NEU
E09654	MES	Classical	MTC
E09655	NL	Neural	NEU
E09670	NL	Neural	NEU
E09680	MES	Neural	MTC
E09690	PN	Proneural	PPR
E09698	MES	Mesenchymal	GPM
E09722	PN	Proneural	PPR
E09730	MES	Classical	GPM
E09740	MES	Mesenchymal	GPM
E09742	CL-A	Classical	PPR
E09744	MES	Mesenchymal	GPM
E09752	MES	Mesenchymal	GPM
E09756	CL-A	Classical	GPM
E09759	MES	Mesenchymal	GPM
E09782	CL-A	Classical	PPR
E09786	PN-L	Proneural	GPM
E09787	NL	Neural	NEU
E09791	CL-C	Classical	MTC
E09800	MES	Mesenchymal	GPM
E09802	PN	Proneural	PPR
E09810	CL-A	Classical	PPR
E09825	CL-A	Neural	PPR
E09829	CL-A	Classical	PPR
E09832	CL-C	Classical	NEU
E09833	CL-C	Classical	MTC
E09842	CL-C	Classical	MTC
E09846	NL	Neural	NEU
E09847	NL	Neural	NEU
E09852	NL	Proneural	NEU
E09857	CL-C	Classical	MTC
E09862	CL-A	Classical	PPR
E09906	CL-C	Neural	MTC
E09907	CL-A	Classical	GPM
E09917	CL-B	Classical	GPM
E09930	NL	Neural	NEU
E09938	MES	Mesenchymal	NEU
E09951	CL-A	Classical	PPR
E09956	NL	Neural	NEU
E09967	MES	Classical	GPM
E10002	MES	Classical	GPM
E10012	CL-A	Classical	PPR
E10013	PN	Classical	PPR
E10016	MES	Mesenchymal	GPM
E10026	CL-C	Neural	MTC
E10029	NL	Neural	NEU
E10031	CL-A	Classical	PPR
E10041	MES	Classical	GPM
E10077	MES	Mesenchymal	MTC
E10102	MES	Classical	GPM
E10110	PN	Proneural	PPR
E10140	CL-A	Classical	GPM
E10144	NL	Neural	NEU
E10158	PN-L	Proneural	MTC
E10172	MES	Classical	MTC
E10184	NL	Neural	NEU
E10191	NL	Proneural	MTC
E10193	NL	Neural	NEU
E10203	NL	Neural	NEU
E10211	NL	Neural	NEU
E10226	CL-C	Proneural	PPR
E10227	MES	Classical	PPR
E10249	NL	Neural	NEU
E10250	CL-A	Classical	GPM
E10252	NL	Proneural	NEU
E10258	NL	Neural	NEU
E10262	PN	Proneural	PPR
E10264	MES	Mesenchymal	GPM
E10267	CL-A	Classical	PPR
E10271	CL-A	Classical	PPR
E10284	MES	Classical	GPM
E10290	MES	Mesenchymal	GPM
E10292	CL-A	Classical	PPR
E10300	MES	Mesenchymal	GPM
E10305	MES	Classical	MTC
E10306	CL-A	Classical	PPR
E10312	NL	Neural	NEU
E10313	MES	Classical	GPM
E10318	MES	Mesenchymal	GPM
E10433	NL	Neural	MTC
E10444	CL-A	Classical	PPR
E10462	NL	Neural	NEU
E10488	MES	Mesenchymal	GPM
E10512	PN-L	Proneural	MTC
E10514	NL	Neural	MTC
E10551	MES	Mesenchymal	GPM
E10596	PN	Proneural	PPR
E10662	MES	Mesenchymal	GPM
E50057	NL	Neural	NEU
E50074	CL-A	Classical	PPR
E50091	CL-B	Proneural	PPR
E50123	PN	Classical	PPR
HF0024	MES	Neural	MTC
HF0031	CL-A	Classical	GPM
HF0048	CL-C	Neural	MTC
HF0050	NL	Neural	GPM
HF0066	CL-A	Classical	PPR
HF0138	CL-A	Classical	PPR
HF0142	CL-A	Classical	PPR
HF0180	PN	Proneural	PPR
HF0212	MES	Neural	MTC
HF0268	CL-C	Neural	MTC
HF0300.3	MES	Mesenchymal	MTC
HF0408	CL-A	Classical	PPR
HF0442.5	CL-A	Classical	MTC
HF0445	MES	Neural	PPR
HF0505	NL	Proneural	NEU
HF0520	MES	Mesenchymal	GPM
HF0543	MES	Mesenchymal	GPM
HF0583	MES	Neural	GPM
HF0627	CL-A	Classical	MTC
HF0654	CL-A	Proneural	PPR
HF0790	CL-A	Classical	GPM
HF0891	PN	Proneural	PPR
HF0894	CL-A	Classical	GPM
HF0963	PN	Proneural	PPR
HF0986	CL-A	Classical	MTC
HF0990	CL-A	Classical	MTC
HF0992	CL-C	Proneural	PPR
HF0996	PN	Proneural	PPR
HF1058	NL	Proneural	NEU
HF1077	CL-A	Classical	MTC
HF1078	MES	Classical	GPM
HF1097	MES	Mesenchymal	MTC
HF1122	CL-A	Classical	PPR
HF1137	CL-A	Classical	GPM
HF1139	CL-A	Classical	MTC
HF1178	CL-A	Classical	GPM
HF1191	CL-A	Classical	PPR
HF1220	MES	Mesenchymal	GPM
HF1262	MES	Classical	GPM
HF1269	CL-A	Proneural	NEU
HF1292	MES	Mesenchymal	GPM
HF1297	CL-A	Classical	PPR
HF1318	CL-A	Proneural	PPR
HF1338	PN	Proneural	NEU
HF1356	MES	Mesenchymal	GPM
HF1382	CL-A	Classical	PPR
HF1397	MES	Classical	PPR
HF1469	NL	Neural	NEU
HF1492	NL	Neural	NEU
HF1509	CL-A	Classical	MTC
HF1517	CL-A	Classical	PPR
HF1534	CL-C	Classical	MTC
HF1538	MES	Classical	MTC
HF1540	CL-A	Classical	MTC
HF1585	CL-B	Neural	NEU
HF1589	CL-A	Classical	MTC
HF1608	CL-A	Classical	PPR
HF1618	CL-A	Classical	PPR
HF1628	CL-A	Classical	PPR
HF1640	NL	Proneural	NEU
HF1667	NL	Neural	NEU
HF1671	CL-B	Classical	MTC
MD545226	PN	Proneural	PPR
MD602958	MES	Mesenchymal	GPM
MD607103	MES	Mesenchymal	GPM
MD607216	MES	Classical	PPR
MD608660	CL-A	Classical	MTC
MD621233	PN-L	Proneural	MTC
TCGA-06-0184	MES	Mesenchymal	MTC
TCGA-06-0649	CL-C	Neural	MTC
TCGA-02-2485	PN	Classical	PPR
TCGA-26-5136	CL-C	Mesenchymal	PPR
TCGA-76-4925	PN	Proneural	PPR
TCGA-32-2632	CL-C	Mesenchymal	MTC
TCGA-06-5858	CL-C	Mesenchymal	GPM
TCGA-28-5213	MES	Mesenchymal	GPM
TCGA-06-0157	CL-C	Classical	PPR
TCGA-16-0846	NL	Proneural	NEU
TCGA-12-3653	CL-A	Classical	MTC
TCGA-32-2615	CL-C	Mesenchymal	GPM
TCGA-06-0211	CL-A	Classical	PPR
TCGA-06-0745	CL-B	Proneural	MTC
TCGA-28-5204	CL-A	Neural	PPR
TCGA-06-0878	MES	Mesenchymal	GPM
TCGA-06-5412	MES	Mesenchymal	GPM
TCGA-28-5216	PN-L	Mesenchymal	GPM
TCGA-32-1982	CL-B	Neural	MTC
TCGA-14-1823	CL-B	Mesenchymal	MTC
TCGA-76-4931	PN	Classical	NEU
TCGA-14-0871	PN	Mesenchymal	MTC
TCGA-06-2565	CL-A	Classical	MTC
TCGA-06-0646	CL-C	Proneural	GPM
TCGA-06-0190	MES	Mesenchymal	GPM
TCGA-27-2528	CL-A	Classical	PPR
TCGA-26-5133	PN	Proneural	PPR
TCGA-28-5209	CL-A	Mesenchymal	PPR
TCGA-26-5132	CL-C	Classical	PPR
TCGA-06-2558	PN	Proneural	NEU
TCGA-32-2616	CL-C	Mesenchymal	PPR
TCGA-06-0158	CL-C	Classical	GPM
TCGA-06-0238	PN	Proneural	NEU
TCGA-19-2619	CL-A	Classical	GPM
TCGA-06-0130	MES	Mesenchymal	GPM
TCGA-12-0618	PN	Proneural	NEU
TCGA-06-0141	MES	Mesenchymal	GPM
TCGA-06-5859	CL-C	Neural	MTC
TCGA-06-5415	CL-C	Classical	NEU
TCGA-28-2513	MES	Mesenchymal	GPM
TCGA-27-1830	MES	Proneural	GPM
TCGA-76-4932	CL-A	Proneural	PPR
TCGA-06-5413	CL-C	Neural	MTC
TCGA-06-0743	CL-C	Classical	MTC
TCGA-26-5139	CL-A	Mesenchymal	GPM
TCGA-06-2562	MES	Mesenchymal	GPM
TCGA-19-2629	PN-L	Proneural	GPM
TCGA-28-1753	CL-B	Mesenchymal	GPM
TCGA-41-2571	CL-B	Proneural	NEU
TCGA-06-0219	CL-B	Neural	PPR
TCGA-02-0055	MES	Mesenchymal	nc
TCGA-15-1444	PN-L	Proneural	NEU
TCGA-12-5299	CL-A	Classical	MTC
TCGA-12-5295	CL-B	Neural	MTC
TCGA-06-2557	CL-B	Mesenchymal	MTC
TCGA-27-1835	CL-A	Classical	MTC
TCGA-14-1034	CL-C	Mesenchymal	GPM
TCGA-06-2564	CL-A	Classical	PPR
TCGA-12-0619	CL-C	Mesenchymal	GPM
TCGA-14-1825	PN	Proneural	PPR
TCGA-06-0744	CL-B	Classical	PPR
TCGA-06-2567	CL-C	Neural	PPR
TCGA-06-0156	CL-C	Proneural	PPR
TCGA-14-2554	CL-C	Neural	MTC
TCGA-06-2563	CL-A	Classical	NEU
TCGA-27-2526	CL-C	Neural	MTC
TCGA-06-5418	CL-A	Mesenchymal	GPM
TCGA-06-0132	NL	Neural	NEU
TCGA-06-0882	NL	Neural	NEU
TCGA-27-2519	CL-C	Mesenchymal	GPM
TCGA-26-5135	CL-B	Proneural	GPM
TCGA-06-0129	PN	Proneural	PPR
TCGA-02-2483	PN	Proneural	PPR
TCGA-02-0047	PN-L	Proneural	NEU
TCGA-06-0645	MES	Mesenchymal	GPM
TCGA-06-2569	MES	Mesenchymal	PPR
TCGA-28-5207	CL-C	Mesenchymal	NEU
TCGA-14-0817	CL-B	Neural	MTC
TCGA-32-5222	CL-B	Proneural	MTC
TCGA-14-0790	CL-C	Classical	MTC
TCGA-06-0644	MES	Mesenchymal	GPM
TCGA-27-1834	CL-C	Neural	NEU
TCGA-06-2570	PN	Proneural	MTC
TCGA-12-3652	CL-B	Classical	MTC
TCGA-76-4926	CL-C	Classical	NEU
TCGA-14-0781	MES	Mesenchymal	GPM
TCGA-28-5208	CL-A	Mesenchymal	PPR
TCGA-27-1831	CL-B	Neural	PPR
TCGA-06-5414	CL-A	Classical	GPM
TCGA-27-1832	CL-C	Mesenchymal	GPM
TCGA-06-5410	MES	Mesenchymal	GPM
TCGA-15-0742	CL-B	Classical	PPR
TCGA-12-0616	PN	Proneural	PPR
TCGA-28-1747	NL	Classical	NEU
TCGA-27-2524	MES	Mesenchymal	GPM
TCGA-19-1390	PN	Proneural	PPR
TCGA-06-0187	CL-A	Classical	MTC
TCGA-12-1597	PN	Proneural	NEU
TCGA-14-1829	CL-B	Neural	MTC
TCGA-06-5856	PN	Classical	MTC
TCGA-06-0749	NL	Neural	NEU
TCGA-32-1970	CL-C	Classical	NEU
TCGA-14-0787	CL-B	Classical	MTC
TCGA-32-4213	MES	Mesenchymal	GPM
TCGA-06-0174	PN	Proneural	PPR
TCGA-06-5417	PN-L	Proneural	PPR
TCGA-41-2572	CL-B	Classical	MTC
TCGA-28-2509	CL-C	Mesenchymal	PPR
TCGA-76-4929	CL-C	Neural	MTC
TCGA-27-2521	PN	Proneural	PPR
TCGA-12-0821	PN	Neural	PPR
TCGA-26-5134	PN	Proneural	PPR
TCGA-41-4097	NL	Mesenchymal	GPM
TCGA-06-5411	NL	Neural	NEU
TCGA-28-5220	CL-C	Classical	MTC
TCGA-14-0789	MES	Mesenchymal	GPM
TCGA-06-2559	PN	Proneural	PPR
TCGA-06-0747	CL-C	Classical	PPR
TCGA-26-1442	PN-L	Proneural	NEU
TCGA-32-1980	NL	Neural	NEU
TCGA-06-0125	CL-A	Classical	PPR
TCGA-19-5960	PN	Proneural	NEU
TCGA-19-1787	CL-C	Mesenchymal	PPR
TCGA-06-2561	NL	Mesenchymal	NEU
TCGA-06-0686	PN	Proneural	NEU
TCGA-27-1837	CL-B	Classical	NEU
TCGA-06-0168	CL-B	Mesenchymal	NEU
TCGA-06-1804	CL-C	Classical	NEU
TCGA-76-4927	MES	Neural	GPM
TCGA-28-5215	PN-L	Mesenchymal	GPM
TCGA-19-2624	PN	Proneural	PPR
TCGA-19-2620	NL	Neural	NEU
TCGA-41-3915	MES	Mesenchymal	GPM
TCGA-19-2625	CL-C	Classical	GPM
TCGA-27-2523	PN	Classical	PPR
TCGA-28-5218	MES	Mesenchymal	GPM
TCGA-12-3650	PN	Proneural	PPR
TCGA-28-2514	NL	Classical	NEU
TCGA-06-0138	CL-B	Neural	MTC
TCGA-32-2634	PN	Proneural	PPR
TCGA-06-5408	CL-A	Classical	PPR
TCGA-02-2486	MES	Mesenchymal	GPM
TCGA-06-5416	PN	Proneural	PPR
TCGA-41-5651	PN	Proneural	NEU
TCGA-76-4928	MES	Classical	GPM
TCGA-06-0178	PN	Neural	MTC
TCGA-08-0386	CL-C	Neural	NEU
TCGA-32-2638	MES	Classical	GPM
TCGA-06-0750	MES	Mesenchymal	MTC
TCGA-16-1045	MES	Mesenchymal	GPM
TCGA-06-0210	MES	Mesenchymal	GPM
TCGA-02-0266	CL-B	Classical	MTC
TCGA-08-0529	CL-A	Classical	PPR
TCGA-06-0876	CL-B	Classical	MTC
TCGA-06-2566	CL-C	Neural	NEU
TCGA-12-0778	MES	Mesenchymal	GPM
TCGA-12-0670	CL-B	Neural	MTC
TCGA-02-0432	PN-L	Proneural	NEU
TCGA-12-0827	CL-B	Mesenchymal	GPM
TCGA-19-0960	PN-L	Proneural	PPR
TCGA-28-1756	PN-L	Proneural	NEU
TCGA-12-1598	CL-C	Neural	PPR
TCGA-08-0375	CL-B	Classical	MTC
TCGA-12-1091	CL-A	Classical	PPR
TCGA-32-1976	CL-B	Proneural	GPM
TCGA-08-0344	PN	Proneural	NEU
TCGA-08-0350	PN	Proneural	MTC
TCGA-08-0520	CL-C	Neural	MTC
TCGA-06-1800	MES	Mesenchymal	GPM
TCGA-06-0179	CL-B	Neural	NEU
TCGA-16-1460	PN-L	Proneural	GPM
TCGA-28-1752	CL-C	Neural	NEU
TCGA-08-0348	PN	Proneural	MTC
TCGA-12-0780	CL-B	Classical	MTC
TCGA-32-1991	CL-A	Classical	GPM
TCGA-19-1392	PN-L	Proneural	PPR
TCGA-08-0521	MES	Classical	GPM
TCGA-12-0826	CL-B	Neural	MTC
TCGA-12-0615	CL-B	Classical	nc
TCGA-08-0380	CL-C	Neural	MTC
TCGA-02-0281	PN	Proneural	PPR
TCGA-12-0828	CL-B	Neural	MTC
TCGA-19-5947	MES	Mesenchymal	nc
TCGA-02-0439	PN-L	Proneural	MTC
TCGA-15-1449	PN	Proneural	NEU
TCGA-12-0822	CL-B	Neural	MTC
TCGA-12-0819	CL-B	Classical	NEU
TCGA-12-1600	CL-A	Classical	PPR
TCGA-15-1447	PN	Proneural	NEU
TCGA-14-1794	CL-C	Proneural	GPM
TCGA-32-1979	CL-C	Classical	nc
TCGA-28-1746	PN-L	Proneural	NEU
TCGA-16-1060	MES	Mesenchymal	GPM
TCGA-28-6450	CL-A	Classical	nc
TCGA-06-0155	MES	Mesenchymal	GPM
TCGA-02-0325	CL-C	Proneural	NEU
TCGA-08-0356	CL-B	Classical	MTC
TCGA-19-0963	NL	Neural	NEU
TCGA-02-0285	CL-A	Classical	MTC
TCGA-06-0402	CL-A	Classical	PPR
TCGA-06-0881	MES	Mesenchymal	GPM
TCGA-08-0511	CL-C	Classical	NEU
TCGA-08-0510	MES	Mesenchymal	GPM
TCGA-06-1086	MES	Mesenchymal	GPM
TCGA-16-1055	CL-A	Classical	PPR
TCGA-27-2527	MES	Mesenchymal	MTC
TCGA-19-4068	CL-C	Classical	MTC
TCGA-12-0773	CL-B	Neural	PPR
TCGA-06-1805	PN-L	Proneural	GPM
TCGA-08-0355	CL-B	Classical	MTC
TCGA-19-0957	PN-L	Proneural	NEU
TCGA-02-0338	PN	Proneural	PPR
TCGA-02-0326	CL-B	Mesenchymal	MTC
TCGA-02-0333	CL-B	Classical	MTC
TCGA-14-1458	NL	Proneural	NEU
TCGA-02-0332	CL-B	Mesenchymal	MTC
TCGA-32-2494	MES	Mesenchymal	GPM
TCGA-14-3476	CL-B	Neural	MTC
TCGA-02-0260	CL-B	Classical	MTC
TCGA-02-0324	CL-B	Neural	MTC
TCGA-08-0390	MES	Mesenchymal	MTC
TCGA-12-0654	MES	Mesenchymal	GPM
TCGA-02-0337	CL-B	Mesenchymal	GPM
TCGA-28-1757	CL-A	Classical	NEU
TCGA-06-6391	PN	Proneural	nc
TCGA-19-1386	CL-C	Classical	PPR
TCGA-28-1749	CL-C	Classical	PPR
TCGA-06-0194	MES	Mesenchymal	GPM
TCGA-02-0446	PN	Proneural	NEU
TCGA-16-1056	CL-C	Classical	PPR
TCGA-12-3646	PN	Proneural	PPR
TCGA-14-1454	PN	Proneural	PPR
TCGA-02-2466	PN	Proneural	PPR
TCGA-02-0290	CL-B	Classical	MTC
TCGA-19-5951	CL-B	Classical	nc
TCGA-14-0813	CL-B	Proneural	MTC
TCGA-12-1094	CL-A	Classical	GPM
TCGA-32-4210	PN	Proneural	MTC
TCGA-12-1092	MES	Mesenchymal	GPM
TCGA-08-0522	MES	Mesenchymal	GPM
TCGA-12-1095	MES	Mesenchymal	NEU
TCGA-12-3651	CL-C	Neural	MTC
TCGA-14-0736	CL-C	Mesenchymal	NEU
TCGA-02-0079	MES	Mesenchymal	GPM
TCGA-76-6191	PN	Proneural	nc
TCGA-06-0164	MES	Mesenchymal	GPM
TCGA-19-1385	MES	Mesenchymal	GPM
TCGA-08-0357	CL-B	Classical	MTC
TCGA-08-0246	CL-B	Classical	MTC
TCGA-14-0812	CL-C	Neural	NEU
TCGA-19-1791	CL-C	Neural	PPR
TCGA-14-1401	PN-L	Proneural	NEU
TCGA-27-1838	CL-C	Mesenchymal	GPM
TCGA-32-4211	MES	Neural	MTC
TCGA-08-0518	CL-A	Classical	PPR
TCGA-02-0330	CL-C	Mesenchymal	GPM
TCGA-06-0182	CL-B	Neural	PPR
TCGA-14-0866	CL-B	Neural	MTC
TCGA-14-1451	PN-L	Proneural	NEU
TCGA-02-0317	CL-B	Classical	MTC
TCGA-02-0111	MES	Mesenchymal	GPM
TCGA-16-1063	CL-C	Neural	MTC
TCGA-32-2495	CL-C	Classical	MTC
TCGA-02-0059	MES	Mesenchymal	GPM
TCGA-12-1096	MES	Mesenchymal	GPM
TCGA-19-5954	CL-A	Classical	nc
TCGA-06-1801	PN-L	Proneural	NEU
TCGA-41-3392	CL-C	Neural	MTC
TCGA-32-4208	PN-L	Proneural	MTC
TCGA-08-0509	MES	Mesenchymal	GPM
TCGA-32-4209	MES	Mesenchymal	MTC
TCGA-19-2623	CL-C	Mesenchymal	MTC
TCGA-08-0517	PN	Proneural	PPR
TCGA-08-0385	PN	Proneural	MTC
TCGA-14-0786	CL-A	Classical	GPM
TCGA-41-2573	NL	Proneural	NEU
TCGA-08-0354	CL-B	Classical	MTC
TCGA-26-1439	CL-C	Classical	GPM
TCGA-19-5955	MES	Mesenchymal	nc
TCGA-27-1836	PN	Proneural	NEU
TCGA-06-0648	PN	Proneural	NEU
TCGA-14-1455	PN	Proneural	PPR
TCGA-02-0422	CL-A	Classical	MTC
TCGA-06-0879	CL-B	Classical	MTC
TCGA-12-1097	PN-L	Neural	NEU
TCGA-28-2502	MES	Mesenchymal	GPM
TCGA-08-0347	PN	Proneural	NEU
TCGA-14-1821	PN	Proneural	PPR
TCGA-19-5956	PN	Proneural	nc
TCGA-06-0409	MES	Mesenchymal	GPM
TCGA-14-2555	CL-B	Neural	MTC
TCGA-12-0829	MES	Mesenchymal	GPM
TCGA-28-1760	MES	Classical	GPM
TCGA-02-0289	CL-B	Classical	MTC
TCGA-12-0775	MES	Mesenchymal	GPM
TCGA-14-1456	PN-L	Proneural	MTC
TCGA-27-2518	NL	Neural	NEU
TCGA-02-2470	NL	Mesenchymal	NEU
TCGA-08-0359	PN	Proneural	NEU
TCGA-14-1396	MES	Mesenchymal	GPM
TCGA-06-0152	CL-B	Mesenchymal	NEU
TCGA-08-0373	CL-B	Mesenchymal	GPM
TCGA-08-0360	MES	Mesenchymal	GPM
TCGA-02-0070	CL-A	Classical	MTC
TCGA-12-1098	CL-C	Classical	MTC
TCGA-08-0525	CL-A	Classical	GPM
TCGA-32-4719	CL-B	Classical	MTC
TCGA-12-1090	CL-C	Mesenchymal	PPR
TCGA-12-0707	CL-B	Neural	MTC
TCGA-32-1977	MES	Classical	GPM
TCGA-02-0258	PN-L	Proneural	MTC
TCGA-12-0776	MES	Mesenchymal	GPM
TCGA-28-2506	CL-C	Neural	MTC
TCGA-76-6193	MES	Mesenchymal	nc
TCGA-19-1388	PN-L	Mesenchymal	NEU
TCGA-32-1973	PN	Proneural	PPR
TCGA-76-6282	MES	Mesenchymal	nc
TCGA-14-0867	CL-B	Mesenchymal	GPM
TCGA-06-0414	PN	Proneural	PPR
TCGA-76-4934	PN	Proneural	MTC
TCGA-14-0865	PN	Proneural	PPR
TCGA-02-0039	MES	Mesenchymal	GPM
TCGA-26-1438	MES	Mesenchymal	GPM
TCGA-08-0353	PN	Proneural	MTC
TCGA-12-0818	PN-L	Proneural	NEU
TCGA-06-1084	MES	Mesenchymal	GPM
TCGA-14-1402	CL-C	Classical	PPR
TCGA-12-1599	CL-C	Neural	GPM
TCGA-02-0339	PN	Proneural	PPR
TCGA-02-0104	PN	Proneural	PPR
TCGA-81-5910	CL-A	Classical	nc
TCGA-12-0620	CL-B	Mesenchymal	GPM
TCGA-02-0048	PN	Proneural	PPR
TCGA-16-0861	CL-B	Classical	MTC
TCGA-06-0410	PN	Proneural	PPR
TCGA-08-0351	PN-L	Proneural	NEU
TCGA-14-3477	PN	Proneural	PPR
TCGA-02-0015	MES	Classical	PPR
TCGA-12-1099	PN-L	Proneural	NEU
TCGA-87-5896	CL-C	Classical	nc
TCGA-12-5301	CL-B	Neural	MTC
TCGA-12-0703	CL-B	Classical	MTC
TCGA-14-4157	PN	Proneural	PPR
TCGA-14-1452	CL-A	Mesenchymal	GPM
TCGA-06-1087	PN	Proneural	PPR
TCGA-08-0244	CL-B	Classical	MTC
TCGA-16-0848	CL-B	Proneural	MTC
TCGA-15-1446	CL-C	Classical	MTC
TCGA-08-0514	CL-C	Classical	MTC
TCGA-06-0127	NL	Classical	NEU
TCGA-19-5958	CL-C	Classical	nc
TCGA-27-1833	CL-C	Classical	PPR
TCGA-02-0440	PN	Proneural	PPR
TCGA-14-1827	CL-C	Neural	NEU
TCGA-08-0245	PN	Proneural	PPR
TCGA-02-0004	MES	Mesenchymal	GPM
TCGA-14-1037	MES	Mesenchymal	GPM
TCGA-06-0216	CL-C	Proneural	NEU
TCGA-06-0877	CL-B	Classical	MTC
TCGA-16-1047	CL-A	Classical	PPR
TCGA-06-0146	PN	Proneural	MTC
TCGA-12-3649	CL-C	Neural	MTC
TCGA-76-4935	PN	Proneural	PPR
TCGA-32-2491	MES	Mesenchymal	GPM
TCGA-06-6390	CL-C	Classical	nc
TCGA-08-0512	MES	Mesenchymal	GPM
TCGA-06-0413	PN	Proneural	NEU
TCGA-19-1387	PN-L	Proneural	NEU
TCGA-08-0516	PN-L	Classical	NEU
TCGA-02-0084	PN-L	Proneural	GPM
TCGA-08-0352	MES	Mesenchymal	GPM
TCGA-14-0783	CL-A	Mesenchymal	GPM
TCGA-12-1602	PN-L	Proneural	NEU
TCGA-32-1986	MES	Mesenchymal	GPM
TCGA-28-5219	PN	Classical	PPR
TCGA-19-0964	CL-C	Classical	PPR
